,seeds
['sleazy'],725
['sexy'],640
['aggressive'],609
['romantic'],608
['erotic'],594
['angry'],593
['smooth'],591
['epic'],584
['lyrical'],574
['light'],552
['lush'],547
['lazy'],541
['energetic'],540
['positive'],537
['exotic'],536
['spiritual'],518
['cheerful'],515
['gloomy'],513
['uplifting'],512
['fun'],511
['happy'],501
['warm'],496
['sentimental'],493
['nostalgic'],489
['powerful'],484
['hypnotic'],476
['quiet'],473
['relaxed'],472
['sensual'],466
['dark'],463
['optimistic'],462
['peaceful'],462
['eerie'],461
['mellow'],459
['gritty'],452
['mysterious'],450
['technical'],449
['fierce'],447
['gentle'],447
['dramatic'],447
['lonely'],444
['intense'],443
['soothing'],443
['sweet'],441
['spooky'],440
['bittersweet'],440
['cold'],437
['silly'],436
['organic'],435
['quirky'],421
['calm'],417
['soft'],413
['playful'],403
['atmospheric'],401
['thoughtful'],398
['serious'],397
['meditative'],396
['witty'],391
['tender'],383
['poignant'],379
['trippy'],374
['driving'],371
['martial'],362
['bright'],362
['ethereal'],361
['sad'],358
['sacred'],353
['bitter'],346
['reflective'],346
['whimsical'],346
['wistful'],344
['dreamy'],342
['scary'],341
['passionate'],335
['intimate'],334
['halloween'],334
['mystical'],333
['lively'],330
['humorous'],316
['spacey'],307
['euphoric'],303
['delicate'],303
['strong'],291
['exciting'],283
['elegant'],279
['melancholy'],278
['eccentric'],276
['brooding'],273
['sexual'],269
['introspective'],266
['nocturnal'],263
['narrative'],259
['earthy'],249
['ironic'],229
['sophisticated'],227
['complex'],221
['harsh'],221
['stylish'],217
['theatrical'],205
['monumental'],192
['slick'],188
['flashy'],188
['ominous'],183
['hyper'],183
['pure'],183
['rousing'],183
['paranoid'],177
['apocalyptic'],163
['tragic'],161
['crunchy'],146
['yearning'],143
['summery'],135
['menacing'],131
['philosophical'],130
['negative'],129
['sarcastic'],128
['triumphant'],127
['autumnal'],126
['sparse'],123
['cerebral'],119
['bleak'],115
['joyous'],114
['bombastic'],111
['desperate'],109
['enigmatic'],109
['cathartic'],101
['flowing'],101
['urgent'],96
['somber'],92
['cynical'],90
['laid-back'],84
['manic'],82
['carefree'],80
['literate'],80
['explosive'],76
['rustic'],75
['naive'],75
['precious'],71
['nervous'],71
['macabre'],70
['innocent'],69
['shimmering'],67
['spicy'],67
['comic'],67
['grim'],67
['messy'],65
['ecstatic'],63
['confident'],61
['provocative'],60
['savage'],57
['druggy'],57
['sparkling'],56
['trashy'],55
['earnest'],55
['airy'],54
['tense'],52
['mechanical'],50
['pastoral'],50
['rebellious'],49
['thrilling'],46
['defiant'],46
['devotional'],41
['demonic'],39
['unsettling'],37
['anxious'],36
['graceful'],36
['wry'],36
['elegiac'],35
['clinical'],35
['perky'],34
['fractured'],30
['child-like'],29
['brash'],28
['mighty'],27
['searching'],27
['detached'],27
['fiery'],26
['reassuring'],25
['rowdy'],25
['narcotic'],25
['ambitious'],24
['weary'],21
['kinetic'],20
['hungry'],19
['plaintive'],19
['brassy'],18
['exuberant'],18
['sprawling'],16
['satirical'],16
['elaborate'],15
['campy'],15
['confrontational'],15
['bravado'],14
['brittle'],14
['reckless'],14
['sardonic'],14
['marching'],14
['nihilistic'],14
['visceral'],13
['animated'],12
['street-smart'],12
['raucous'],12
['rollicking'],12
['difficult'],12
['circular'],12
['transparent'],12
['freewheeling'],11
['self-conscious'],11
['understated'],10
['greasy'],10
['volatile'],10
['outrageous'],10
['wintry'],10
['sugary'],9
['giddy'],9
['stately'],9
['good-natured'],9
['rambunctious'],9
['hostile'],8
['irreverent'],8
['refined'],8
['suspenseful'],8
['noble'],8
['meandering'],7
['thuggish'],7
['uncompromising'],7
['celebratory'],7
['angst-ridden'],7
['indulgent'],6
['boisterous'],5
['ornate'],5
['regretful'],5
['swaggering'],5
['acerbic'],5
['gutsy'],5
['effervescent'],4
['distraught'],4
['gleeful'],4
['malevolent'],4
['jittery'],3
['hedonistic'],3
['restrained'],3
['reverent'],3
['resolute'],3
['funereal'],3
['feverish'],2
['threatening'],2
['sprightly'],2
['amiable'],2
['austere'],2
['ramshackle'],2
['dignified'],2
['consoling'],1
['jovial'],1
['outraged'],1
['athletic'],1
['feral'],1
['suffocating'],1
['languid'],1
['reserved'],1
['capricious'],1
['springlike'],1
['snide'],1
['translucent'],1
